,coroner_name,Number of reports,Number of recipients,Number of responses,Number of complete responses,Number of partial responses,% response rate,% complete response rate,% partial response rate
12,Alison Mutch,95,158.0,66,56,10,0.4177215189873418,0.5894736842105263,0.10526315789473684
238,Mary Hassell,94,160.0,68,56,12,0.425,0.5957446808510638,0.1276595744680851
224,Louise Hunt,42,97.0,38,20,18,0.3917525773195876,0.47619047619047616,0.42857142857142855
361,Zafar Siddique,39,62.0,27,16,11,0.43548387096774194,0.41025641025641024,0.28205128205128205
247,Nadia Persaud,39,42.0,20,18,2,0.47619047619047616,0.46153846153846156,0.05128205128205128
227,Lydia Brown,30,42.0,27,22,5,0.6428571428571429,0.7333333333333333,0.16666666666666666
22,Andrew Cox,30,45.0,25,24,1,0.5555555555555556,0.8,0.03333333333333333
188,John Pollard,30,35.0,24,23,1,0.6857142857142857,0.7666666666666667,0.03333333333333333
46,Caroline Beasley-Murray,29,49.0,12,5,7,0.24489795918367346,0.1724137931034483,0.2413793103448276
24,Andrew Harris,28,54.0,21,12,9,0.3888888888888889,0.42857142857142855,0.32142857142857145
235,Martin Fleming,27,37.0,13,10,3,0.35135135135135137,0.37037037037037035,0.1111111111111111
156,Jacqueline Lake,27,34.0,24,22,2,0.7058823529411765,0.8148148148148148,0.07407407407407407
112,Emma Brown,27,53.0,21,16,5,0.39622641509433965,0.5925925925925926,0.18518518518518517
186,John Gittins,27,36.0,19,17,2,0.5277777777777778,0.6296296296296297,0.07407407407407407
23,Andrew Haigh,26,28.0,20,18,2,0.7142857142857143,0.6923076923076923,0.07692307692307693
142,Heidi Connor,26,46.0,17,12,5,0.3695652173913043,0.46153846153846156,0.19230769230769232
17,Andrew Barkley,26,42.0,19,14,5,0.4523809523809524,0.5384615384615384,0.19230769230769232
347,Thoma Osborne,26,32.0,16,14,2,0.5,0.5384615384615384,0.07692307692307693
221,Lisa Hashmi,26,41.0,18,12,6,0.43902439024390244,0.46153846153846156,0.23076923076923078
213,Kevin McLoughlin,25,33.0,19,18,1,0.5757575757575758,0.72,0.04
120,Fiona Wilcox,25,48.0,14,6,8,0.2916666666666667,0.24,0.32
357,Veronica Hamilton-Deeley,22,36.0,13,8,5,0.3611111111111111,0.36363636363636365,0.22727272727272727
47,Caroline Saunders,22,24.0,18,17,1,0.75,0.7727272727272727,0.045454545454545456
177,Joanne Kearsley,20,53.0,16,10,6,0.3018867924528302,0.5,0.3
211,Katy Skerrett,20,27.0,12,10,2,0.4444444444444444,0.5,0.1
271,Penelope Schofield,19,24.0,18,16,2,0.75,0.8421052631578947,0.10526315789473684
56,Chri Morris,19,23.0,11,10,1,0.4782608695652174,0.5263157894736842,0.05263157894736842
229,Margaret Jones,18,33.0,12,9,3,0.36363636363636365,0.5,0.16666666666666666
16,AnRebello,18,24.0,13,10,3,0.5416666666666666,0.5555555555555556,0.16666666666666666
150,Ian Pears,18,21.0,14,13,1,0.6666666666666666,0.7222222222222222,0.05555555555555555
231,Maria Voisin,17,31.0,12,7,5,0.3870967741935484,0.4117647058823529,0.29411764705882354
260,Nigel Meadows,17,28.0,11,6,5,0.39285714285714285,0.35294117647058826,0.29411764705882354
324,Sean McGovern,17,17.0,8,8,0,0.47058823529411764,0.47058823529411764,0.0
284,Rachael Griffin,17,46.0,13,10,3,0.2826086956521739,0.5882352941176471,0.17647058823529413
33,Anna Crawford,17,19.0,8,8,0,0.42105263157894735,0.47058823529411764,0.0
7,Alan Wilson,17,17.0,13,13,0,0.7647058823529411,0.7647058823529411,0.0
97,Derek Winter,16,18.0,12,12,0,0.6666666666666666,0.75,0.0
253,Nichola Rheinberg,16,26.0,6,4,2,0.23076923076923078,0.25,0.125
113,Emma Carlyon,15,23.0,12,8,4,0.5217391304347826,0.5333333333333333,0.26666666666666666
314,Sarah Bourke,15,19.0,11,8,3,0.5789473684210527,0.5333333333333333,0.2
155,Jacqueline Devonish,15,22.0,10,6,4,0.45454545454545453,0.4,0.26666666666666666
6,Alan Walsh,15,25.0,10,8,2,0.4,0.5333333333333333,0.13333333333333333
287,Rachel Galloway,15,22.0,8,7,1,0.36363636363636365,0.4666666666666667,0.06666666666666667
29,Andrew Walker,14,17.0,10,9,1,0.5882352941176471,0.6428571428571429,0.07142857142857142
146,Ian Arrow,14,18.0,11,7,4,0.6111111111111112,0.5,0.2857142857142857
115,Emma Whitting,14,19.0,5,4,1,0.2631578947368421,0.2857142857142857,0.07142857142857142
334,Sonia Hayes,13,23.0,7,6,1,0.30434782608695654,0.46153846153846156,0.07692307692307693
203,Karen Dilks,13,15.0,8,6,2,0.5333333333333333,0.46153846153846156,0.15384615384615385
279,Philip Barlow,13,16.0,8,6,2,0.5,0.46153846153846156,0.15384615384615385
114,Emma Serrano,13,23.0,8,4,4,0.34782608695652173,0.3076923076923077,0.3076923076923077
83,David Horsley,12,14.0,6,6,0,0.42857142857142855,0.5,0.0
74,Crispin Butler,12,15.0,7,7,0,0.4666666666666667,0.5833333333333334,0.0
77,Darren Salter,12,15.0,11,11,0,0.7333333333333333,0.9166666666666666,0.0
275,Peter Harrowing,12,23.0,4,1,3,0.17391304347826086,0.08333333333333333,0.25
352,Tom Osborne,12,13.0,6,6,0,0.46153846153846156,0.5,0.0
53,Catherine McKenna,11,15.0,6,5,1,0.4,0.45454545454545453,0.09090909090909091
266,Paul Cooper,11,12.0,7,7,0,0.5833333333333334,0.6363636363636364,0.0
48,Caroline Sumeray,11,18.0,8,5,3,0.4444444444444444,0.45454545454545453,0.2727272727272727
259,Nicola Mundy,11,13.0,10,9,1,0.7692307692307693,0.8181818181818182,0.09090909090909091
161,James Bennett,11,22.0,9,6,3,0.4090909090909091,0.5454545454545454,0.2727272727272727
123,Geoffrey Sullivan,11,15.0,10,10,0,0.6666666666666666,0.9090909090909091,0.0
132,Grahame Short,11,15.0,8,6,2,0.5333333333333333,0.5454545454545454,0.18181818181818182
129,Graeme Hughes,11,18.0,10,8,2,0.5555555555555556,0.7272727272727273,0.18181818181818182
75,Crispin Oliver,11,18.0,9,9,0,0.5,0.8181818181818182,0.0
325,Selena Lynch,11,16.0,4,4,0,0.25,0.36363636363636365,0.0
206,Karen Henderson,10,27.0,9,3,6,0.3333333333333333,0.3,0.6
90,David Roberts,10,13.0,8,8,0,0.6153846153846154,0.8,0.0
89,David Ridley,10,15.0,6,6,0,0.4,0.6,0.0
82,David Hinchliff,10,16.0,5,3,2,0.3125,0.3,0.2
20,Andrew Bridgman,10,12.0,5,4,1,0.4166666666666667,0.4,0.1
243,Michael Singleton,10,10.0,6,6,0,0.6,0.6,0.0
126,Geraint Williams,10,13.0,6,5,1,0.46153846153846156,0.5,0.1
264,Patricia Harding,10,12.0,8,7,1,0.6666666666666666,0.7,0.1
42,Brendan Allen,10,12.0,7,6,1,0.5833333333333334,0.6,0.1
61,Christopher Dorries,10,16.0,8,6,2,0.5,0.6,0.2
296,Richard Brittain,10,13.0,8,7,1,0.6153846153846154,0.7,0.1
169,Jean Harkin,9,13.0,6,6,0,0.46153846153846156,0.6666666666666666,0.0
172,Jennifer Leeming,9,16.0,6,5,1,0.375,0.5555555555555556,0.1111111111111111
27,Andrew Tweddle,9,17.0,7,5,2,0.4117647058823529,0.5555555555555556,0.2222222222222222
133,Guy Davies,9,15.0,5,4,1,0.3333333333333333,0.4444444444444444,0.1111111111111111
300,Richard Travers,9,32.0,5,1,4,0.15625,0.1111111111111111,0.4444444444444444
349,Timothy Brennand,9,16.0,6,4,2,0.375,0.4444444444444444,0.2222222222222222
261,Nigel Parsley,9,16.0,5,4,1,0.3125,0.4444444444444444,0.1111111111111111
130,Graeme Irvine,9,20.0,4,3,1,0.2,0.3333333333333333,0.1111111111111111
272,Peter Bedford,8,14.0,7,4,3,0.5,0.5,0.375
360,Yvonne Blake,8,9.0,5,5,0,0.5555555555555556,0.625,0.0
93,David Urpeth,8,12.0,6,6,0,0.5,0.75,0.0
178,Joanne Lees,8,10.0,5,5,0,0.5,0.625,0.0
49,Caroline Topping,8,22.0,7,2,5,0.3181818181818182,0.25,0.625
103,Edwin Buckett,8,8.0,6,6,0,0.75,0.75,0.0
160,James Adeley,8,9.0,1,1,0,0.1111111111111111,0.125,0.0
291,Rachel Syed,8,17.0,4,1,3,0.23529411764705882,0.125,0.375
209,Kate Thomas,8,9.0,5,5,0,0.5555555555555556,0.625,0.0
194,Jonathan Layton,8,8.0,7,7,0,0.875,0.875,0.0
107,Elizabeth Carlyon,7,12.0,0,0,0,0.0,0.0,0.0
108,Elizabeth Didcock,7,15.0,3,2,1,0.2,0.2857142857142857,0.14285714285714285
262,Oliver Longstaff,7,13.0,5,2,3,0.38461538461538464,0.2857142857142857,0.42857142857142855
138,Hassan Shah,7,16.0,4,2,2,0.25,0.2857142857142857,0.2857142857142857
0,Abigail Combes,7,7.0,3,3,0,0.42857142857142855,0.42857142857142855,0.0
322,Sean Cummings,7,15.0,2,1,1,0.13333333333333333,0.14285714285714285,0.14285714285714285
289,Rachel Knight,7,15.0,7,5,2,0.4666666666666667,0.7142857142857143,0.2857142857142857
88,David Reid,7,7.0,6,6,0,0.8571428571428571,0.8571428571428571,0.0
34,Anna Loxton,7,14.0,5,3,2,0.35714285714285715,0.42857142857142855,0.2857142857142857
328,Simon Fox,7,8.0,5,5,0,0.625,0.7142857142857143,0.0
326,Shirley Radcliffe,7,11.0,4,3,1,0.36363636363636365,0.42857142857142855,0.14285714285714285
270,Paul Smith,7,9.0,2,2,0,0.2222222222222222,0.2857142857142857,0.0
63,Christopher Murray,7,7.0,2,2,0,0.2857142857142857,0.2857142857142857,0.0
8,Aled Gruffydd,6,6.0,3,3,0,0.5,0.5,0.0
183,John Ellery,6,9.0,4,3,1,0.4444444444444444,0.5,0.16666666666666666
190,John Tomalin,6,7.0,5,5,0,0.7142857142857143,0.8333333333333334,0.0
316,Sarah Ormond-Walshe,6,9.0,4,4,0,0.4444444444444444,0.6666666666666666,0.0
311,Russell Caller,6,11.0,4,2,2,0.36363636363636365,0.3333333333333333,0.3333333333333333
299,Richard Middleton,6,9.0,4,4,0,0.4444444444444444,0.6666666666666666,0.0
237,Mary Burke,6,17.0,3,1,2,0.17647058823529413,0.16666666666666666,0.3333333333333333
173,Jeremy Chipperfield,6,6.0,4,4,0,0.6666666666666666,0.6666666666666666,0.0
255,Nicholas Rheinberg,6,6.0,4,4,0,0.6666666666666666,0.6666666666666666,0.0
87,David Regan,6,6.0,4,4,0,0.6666666666666666,0.6666666666666666,0.0
258,Nicola Jones,6,7.0,3,3,0,0.42857142857142855,0.5,0.0
273,Peter Dean,6,8.0,0,0,0,0.0,0.0,0.0
80,David Clark,6,16.0,6,1,5,0.375,0.16666666666666666,0.8333333333333334
268,Paul Marks,5,5.0,2,2,0,0.4,0.4,0.0
313,Samantha Marsh,5,10.0,3,2,1,0.3,0.4,0.2
336,Stephanie Haskey,5,9.0,3,3,0,0.3333333333333333,0.6,0.0
343,Tanyka Rawden,5,9.0,2,2,0,0.2222222222222222,0.4,0.0
144,Henrietta Hill,5,13.0,4,1,3,0.3076923076923077,0.2,0.6
205,Karen Harrold,5,10.0,4,2,2,0.4,0.4,0.4
217,Laurinda Bower,5,9.0,4,2,2,0.4444444444444444,0.4,0.4
320,Sarah-Jane Richards,5,5.0,2,2,0,0.4,0.4,0.0
317,Sarah Slater,5,6.0,2,2,0,0.3333333333333333,0.4,0.0
109,Elizabeth Earland,5,10.0,4,3,1,0.4,0.6,0.2
354,Tony Brown,5,9.0,5,3,2,0.5555555555555556,0.6,0.4
57,Chris Morris,5,9.0,4,4,0,0.4444444444444444,0.8,0.0
66,Christopher Williams,5,7.0,3,2,1,0.42857142857142855,0.4,0.2
167,Jason Pegg,5,5.0,3,3,0,0.6,0.6,0.0
201,Julie Robertson,5,8.0,5,4,1,0.625,0.8,0.2
355,Tony Williams,5,8.0,1,1,0,0.125,0.2,0.0
10,Alison Hewitt,4,6.0,3,3,0,0.5,0.75,0.0
1,Adam Hodson,4,4.0,4,4,0,1.0,1.0,0.0
348,Tim Holloway,4,5.0,3,3,0,0.6,0.75,0.0
193,Jonathan Landau,4,5.0,2,2,0,0.4,0.5,0.0
199,Julian Morris,4,9.0,4,2,2,0.4444444444444444,0.5,0.5
4,Alan Craze,4,11.0,3,1,2,0.2727272727272727,0.25,0.5
195,Jonathan Leach,4,4.0,1,1,0,0.25,0.25,0.0
151,Ian Singleton,4,6.0,3,3,0,0.5,0.75,0.0
